name,title
array-networks-vapv-byol-arraynetworks-public.cloudpartnerservices.googleapis.com,"Array Networks, Inc. Array Networks vAPV - BYOL"
artifactregistry.googleapis.com,Artifact Registry API
ascend-io-standard.endpoints.ascend-io-marketplace-public.cloud.googleapis.com,Ascend.io Unified Data Engineering Platform
asr.endpoints.knowlarity-public.cloud.googleapis.com,Programmable Speech Analytics
assuredworkloads.googleapis.com,Assured Workloads API
audit.googleapis.com,Audit API
authorizedbuyersmarketplace.googleapis.com,Authorized Buyers Marketplace API
automation-360-bot-agent.endpoints.automationanywhere-public.cloud.googleapis.com,Automation 360 Bot Agent
automation-360.endpoints.automationanywhere-public.cloud.googleapis.com,Automation 360
automl.googleapis.com,Cloud AutoML API
autoscaling.googleapis.com,Cloud Autoscaling API
axi-ai-axiai-public.cloudpartnerservices.googleapis.com,AXI AI SAP EasyConnect
axi-ai-forecast-ml-axiai-public.cloudpartnerservices.googleapis.com,AXI AI Forecast ML
axi-ai-sap-easyconnect-plus-axiai-public.cloudpartnerservices.googleapis.com,AXI AI SAP EasyConnect Plus
baremetalsolution.googleapis.com,Bare Metal Solution API
bespoken-automated-testing-for-voice-and-chat.endpoints.bespoken-ivr-public.cloud.googleapis.com,Bespoken Automated Testing For Voice and Chat
bettercloud1.endpoints.bettercloud-marketplace-public.cloud.googleapis.com,BetterCloud
bigquery.googleapis.com,BigQuery API
bigqueryconnection.googleapis.com,BigQuery Connection API
bigquerydatatransfer.googleapis.com,BigQuery Data Transfer API
bigquerymigration.googleapis.com,BigQuery Migration API
bigqueryreservation.googleapis.com,BigQuery Reservation API
bigquerystorage.googleapis.com,BigQuery Storage API
bigtable.googleapis.com,Cloud Bigtable API
bigtableadmin.googleapis.com,Cloud Bigtable Admin API
bigtabletableadmin.googleapis.com,Cloud Bigtable Table Admin API
billingbudgets.googleapis.com,Cloud Billing Budget API
binaryauthorization.googleapis.com,Binary Authorization API
blackduck-hub-blackduck-public.cloudpartnerservices.googleapis.com,Synopsys Black Duck by Synopsys
blogger.googleapis.com,Blogger API v3
blue-triangle-enterprise.endpoints.bluetriangle-public.cloud.googleapis.com,Blue Triangle Enterprise
bluecat-dns-edge-proxy-service-bluecat-networks.cloudpartnerservices.googleapis.com,BlueCat Networks BlueCat DNS Edge Proxy Service
bluecatdns-bluecat-networks.cloudpartnerservices.googleapis.com,BlueCat Networks BlueCat DNS for Google Cloud Platform
books.googleapis.com,Books API
bookstore.endpoints.endpoints-portal-demo.cloud.googleapis.com,Bookstore gRPC API
bp-accelerators-for-sap-byol.endpoints.msrcosmos-public.cloud.googleapis.com,Blue Prism® Accelerators for use with SAP® ERP (BYOL)
bp-accelerators-for-sap.endpoints.msrcosmos-public.cloud.googleapis.com,Blue Prism® Accelerators for use with SAP® ERP
caldav.googleapis.com,CalDAV API
calendar-json.googleapis.com,Google Calendar API
carddav.googleapis.com,Google Contacts CardDAV API
cdp-for-gcp.endpoints.gcp-cdp-marketplace-public.cloud.googleapis.com,Cloudera Data Platform (CDP)
certificatemanager.googleapis.com,Certificate Manager API
charon-ssp-virtual-sparc.endpoints.stromasys-public.cloud.googleapis.com,Charon SSP Virtual SPARC
chat.googleapis.com,Google Chat API
chromedevicetoken.googleapis.com,Chrome Device Token API
chromemanagement.googleapis.com,Chrome Management API
chromepolicy.googleapis.com,Chrome Policy API
chromeuxreport.googleapis.com,Chrome UX Report API
chromewebstore.googleapis.com,Chrome Web Store API
ciam.endpoints.reachfive-public.cloud.googleapis.com,CIAM
citrix-virtual-apps-and-desktop-standard-for-gcp.endpoints.citrix-master-project.cloud.googleapis.com,Citrix Virtual Apps and Desktops Service for Google Cloud
civicinfo.googleapis.com,Google Civic Information API
class4-v6-denovolab-public-260121.cloudpartnerservices.googleapis.com,Denovolab class4-v6
class4v5-1-denovolab-public-260121.cloudpartnerservices.googleapis.com,Denovolab Class4v5 softswitch
classroom.googleapis.com,Google Classroom API
cloud-connect-by-lytics.endpoints.lytics-marketplace-public.cloud.googleapis.com,Cloud Connect by Lytics
cloud-managed-services.endpoints.opentext-public.cloud.googleapis.com,Cloud Managed Services
cloud.googleapis.com,Service Metadata API
cloudamqp.endpoints.codes-public.cloud.googleapis.com,"CloudAMQP "
cloudapis.googleapis.com,Google Cloud APIs
cloudasset.googleapis.com,Cloud Asset API
cloudbees-accelerator-cloudbees.cloudpartnerservices.googleapis.com,CloudBees Accelerator
cloudbeesci-for-gcp-cloudbees.cloudpartnerservices.googleapis.com,CloudBees cloudbeesci-for-gcp Reporting Service
cloudbilling.googleapis.com,Cloud Billing API
cloudbolt-byol-cloudbolt-public.cloudpartnerservices.googleapis.com,CloudBolt
cloudbuild.googleapis.com,Cloud Build API
cloudchannel.googleapis.com,Cloud Channel API
clouddataprep.trifacta.com,Clouddataprep by Trifacta
clouddebugger.googleapis.com,Cloud Debugger API
clouddeploy.googleapis.com,Google Cloud Deploy API
clouderrorreporting.googleapis.com,Error Reporting API
cloudfunctions.googleapis.com,Cloud Functions API
cloudidentity.googleapis.com,Cloud Identity API
cloudiot.googleapis.com,Cloud IoT API
cloudkms.googleapis.com,Cloud Key Management Service (KMS) API
cloudlatencytest.googleapis.com,Cloud Network Performance Monitoring API
cloudprivatecatalog.googleapis.com,Cloud Private Catalog API
cloudprofiler.googleapis.com,Stackdriver Profiler API
cloudresourcemanager.googleapis.com,Cloud Resource Manager API
cloudscheduler.googleapis.com,Cloud Scheduler API
cloudsearch.googleapis.com,Cloud Search API
cloudshell.googleapis.com,Cloud Shell API
cloudsupport.googleapis.com,Google Cloud Support API
cloudtasks.googleapis.com,Cloud Tasks API
cloudtrace.googleapis.com,Cloud Trace API
cloudvideosearch.googleapis.com,Video Search API
cloudvolumesgcp-api.netapp.com,NetApp Cloud Volumes API
cluster-maptiler.cloudpartnerservices.googleapis.com,MapTiler Cluster
cmca-elk-ubuntu.endpoints.classmethod-can-public.cloud.googleapis.com,ELK
cmca-jenkins-ubuntu.endpoints.classmethod-can-public.cloud.googleapis.com,Jenkins powered by Classmethod
cmca-zabbix-ubuntu.endpoints.classmethod-can-public.cloud.googleapis.com,Zabbix powered by Classmethod
cnap-gcp-cnap-market-public.cloudpartnerservices.googleapis.com,CNAP - CYDERES Cloud Native Analytics Platform cnap-gcp Reporting Service
colab.endpoints.colab-marketplace-image-public.cloud.googleapis.com,Colab
collibra-for-gcp-collibra-marketplace-public.cloudpartnerservices.googleapis.com,Collibra Data Intelligence Cloud Reporting Service
commercetools-platform.endpoints.commercetools-public.cloud.googleapis.com,Commercetools Platform
commvaultcomplete-cvlt-marketplace-public.cloudpartnerservices.googleapis.com,CommvaultComplete Reporting Service
composer.googleapis.com,Cloud Composer API
compute.googleapis.com,Compute Engine API
conductor.endpoints.conductor-public.cloud.googleapis.com,Conductor Cloud Rendering
connectgateway.googleapis.com,Connect Gateway API
connectors.googleapis.com,Connectors API
contactcenterinsights.googleapis.com,Contact Center AI Insights API
contacts.googleapis.com,Contacts API
container.googleapis.com,Kubernetes Engine API
containeranalysis.googleapis.com,Container Analysis API
containerfilesystem.googleapis.com,Container File System API
containerregistry.googleapis.com,Container Registry API
containerscanning.googleapis.com,Container Scanning API
containerthreatdetection.googleapis.com,Container Threat Detection API
copresence.googleapis.com,Nearby Messages API
corestack-cloud-governance.endpoints.corestack-public.cloud.googleapis.com,CoreStack Cloud Governance
cortex-xdr-paloaltonetworks-public.cloudpartnerservices.googleapis.com,"Palo Alto Networks, Inc. Cortex-XDR Reporting Service"
cortex-xpanse.endpoints.paloaltonetworks-public.cloud.googleapis.com,Cortex Xpanse
crowdstrike-falcon-endpoint-protection.endpoints.crowdstrike-public.cloud.googleapis.com,CrowdStrike Falcon Endpoint Protection
customsearch.googleapis.com,Custom Search API
cysiv-soc-as-a-service.endpoints.cysiv-public.cloud.googleapis.com,Cysiv SOC-as-a-Service
databricks.endpoints.databricks-prod-master.cloud.googleapis.com,Databricks
datacatalog.googleapis.com,Google Cloud Data Catalog API
dataconnectors.googleapis.com,Data Connectors API
datadog-private.endpoints.datadog-public.cloud.googleapis.com,Datadog Private Plans
datadog-public.endpoints.datadog-public.cloud.googleapis.com,Datadog
dataflow.googleapis.com,Dataflow API
datafusion.googleapis.com,Cloud Data Fusion API
dataiku-enterprise-ready-ai-dataiku-public.cloudpartnerservices.googleapis.com,Dataiku Enterprise Ready AI Reporting Service
datalabeling.googleapis.com,Data Labeling API
datamask.endpoints.softserve-public.cloud.googleapis.com,DATAMASK
datamigration.googleapis.com,Database Migration API
datapipelines.googleapis.com,Data pipelines API
dataproc.googleapis.com,Cloud Dataproc API
datastax-astra-db-for-apache-cassandra.endpoints.datastax-public.cloud.googleapis.com,DataStax Astra DB for Apache Cassandra
datastore.googleapis.com,Cloud Datastore API
datastream.googleapis.com,Datastream API
datastudio.googleapis.com,Data Studio API
datasunrise-datasunrises-public-project.cloudpartnerservices.googleapis.com,"DataSunrise Inc DataSunrise Database Security, Data Masking and Compliance"
datometry-hyper-q-for-bigquery.endpoints.datometry-public.cloud.googleapis.com,Datometry Hyper-Q for BigQuery
deep-globalids-public.cloudpartnerservices.googleapis.com,Global IDs Inc Global IDs Data Ecosystem Evolution Platform
dell-dps-plus.endpoints.dellemc-ddve-public.cloud.googleapis.com,dell-dps-plus
deploymentmanager.googleapis.com,Cloud Deployment Manager V2 API
dfareporting.googleapis.com,Campaign Manager 360 API
dialogflow.googleapis.com,Dialogflow API
digitalassetlinks.googleapis.com,Digital Asset Links API
directions-backend.googleapis.com,Directions API
discovery.googleapis.com,API Discovery Service
displayvideo.googleapis.com,Display & Video 360 API
distance-matrix-backend.googleapis.com,Distance Matrix API
dlp.googleapis.com,Cloud Data Loss Prevention (DLP) API
dns.googleapis.com,Cloud DNS API
docs.googleapis.com,Google Docs API
documentai.googleapis.com,Cloud Document AI API
domains.googleapis.com,Cloud Domains API
domainsrdap.googleapis.com,Domains RDAP API
doubleclickbidmanager.googleapis.com,DoubleClick Bid Manager API
doubleclicksearch.googleapis.com,Search Ads 360 API
drive.googleapis.com,Google Drive API
driveactivity.googleapis.com,Drive Activity API
dryice-iautomate.endpoints.hcl-dryice-prod.cloud.googleapis.com,HCL DRYiCE iAutomate
dynatrace-byol-saas-dynatrace-marketplace-prod.cloudpartnerservices.googleapis.com,Dynatrace LLC dynatrace-byol-saas Reporting Service
echo-api.endpoints.endpoints-portal-demo.cloud.googleapis.com,Endpoints Example
edgecache.googleapis.com,Global Edge Cache Service
edr.endpoints.cybereason-public.cloud.googleapis.com,Endpoint Detection & Response
elastic-cloud.endpoints.prod-elastic-cloud-billing.cloud.googleapis.com,Elastic Cloud
elasticsearch-service.gcpmarketplace.elastic.co,Elasticsearch Service on Elastic Cloud - Standard
elevation-backend.googleapis.com,Maps Elevation API
embeddedassistant.googleapis.com,Google Assistant API
endpoints.googleapis.com,Google Cloud Endpoints
endpointsportal.googleapis.com,Cloud Endpoints Portal
engagement-cdp-marketing-automation.endpoints.bloomreach-public.cloud.googleapis.com,"Engagement (CDP, Marketing Automation)"
enonic-xp-enonic-xp-launcher.cloudpartnerservices.googleapis.com,Enonic XP
essentialcontacts.googleapis.com,Essential Contacts API
eventarc.googleapis.com,Eventarc API
eventarcpublishing.googleapis.com,Eventarc Publishing API
exasol-analytic-database-byol-public-marketplace.cloudpartnerservices.googleapis.com,Exasol Analytics Database BYOL
exasol-analytic-database-payg-public-marketplace.cloudpartnerservices.googleapis.com,Exasol Analytics Database PAYG
f5-big-best-plus-payg-10gbps-f5-7626-networks-public.cloudpartnerservices.googleapis.com,"F5, Inc f5-big-best-plus-payg-10gbps"
f5-big-ip-adc-hourly-better-1gbps-f5-7626-networks-public.cloudpartnerservices.googleapis.com,"F5 Networks F5 BIG-IP Virtual Edition - BETTER  (PAYG, 1Gbps)"
f5-big-ip-adc-hourly-better-25mbps-f5-7626-networks-public.cloudpartnerservices.googleapis.com,"F5 Networks F5 BIG-IP Virtual Edition - BETTER  (PAYG, 25Mbps)"
f5-big-ip-adc-hourly-better-5gbps-f5-7626-networks-public.cloudpartnerservices.googleapis.com,"F5 Networks F5 BIG-IP Virtual Edition - BETTER  (PAYG, 5Gbps)"
f5-big-ip-adc-hourly-good-10gbps-f5-7626-networks-public.cloudpartnerservices.googleapis.com,"F5 Networks F5 BIG-IP Virtual Edition - GOOD  (PAYG, 10Gbps)"
f5-big-ltm-hp-ve-16vcpu-f5-7626-networks-public.cloudpartnerservices.googleapis.com,"F5 Networks F5 BIG-IP Virtual Edition - Good (PAYG, 16vCPU)"
f5-shape-enterprise-defense-f5-7626-networks-public.cloudpartnerservices.googleapis.com,F5 Networks f5-shape-enterprise-defense Reporting Service
factchecktools.googleapis.com,Fact Check Tools API
fcm.googleapis.com,Firebase Cloud Messaging API
fcmdata.googleapis.com,Firebase Cloud Messaging Data API
fcmregistrations.googleapis.com,FCM Registration API
file.googleapis.com,Cloud Filestore API
filecatalyst-direct-byol-filecatalystcloudlauncher.cloudpartnerservices.googleapis.com,FileCatalyst Direct BYOL
firebase.googleapis.com,Firebase Management API
firebaseappcheck.googleapis.com,Firebase App Check API
firebaseappdistribution.googleapis.com,Firebase App Distribution API
firebaseapptesters.googleapis.com,Firebase App Testers API
firebasedatabase.googleapis.com,Firebase Realtime Database Management API
firebasedynamiclinks.googleapis.com,Firebase Dynamic Links API
firebaseextensions.googleapis.com,Firebase Extensions API
firebasehosting.googleapis.com,Firebase Hosting API
firebaseinappmessaging.googleapis.com,Firebase In-App Messaging API
firebaseinstallations.googleapis.com,Firebase Installations API
firebaseml.googleapis.com,Firebase ML API
firebasepredictions.googleapis.com,Firebase Predictions API
firebaseremoteconfig.googleapis.com,Firebase Remote Config API
firebaserules.googleapis.com,Firebase Rules API
firebasestorage.googleapis.com,Cloud Storage for Firebase API
firestore.googleapis.com,Cloud Firestore API
firestorekeyvisualizer.googleapis.com,Firestore Key Visualizer API
firewallinsights.googleapis.com,Firewall Insights API
firstlight-media.endpoints.firstlight-324706-public.cloud.googleapis.com,Firstlight Media
fitness.googleapis.com,Fitness API
fivetran-marketplace.gcpmarketplace.fivetran.com,Fivetran Data Pipelines
flashpoint-intelligence-platform.endpoints.flashpoint-id-public.cloud.googleapis.com,Flashpoint Intelligence Platform
flowmon-collector-for-google-cloud-flowmon-public.cloudpartnerservices.googleapis.com,Flowmon Networks Flowmon for Google Cloud
fortanix-data-security-manager-dsm-saas.endpoints.fortanix-public.cloud.googleapis.com,Fortanix Data Security Manager SaaS
fusion-siem.endpoints.exabeam-public.cloud.googleapis.com,Fusion SIEM
fusion-xdr.endpoints.exabeam-public.cloud.googleapis.com,Fusion XDR
fusion.endpoints.lucidworks-public.cloud.googleapis.com,Fusion
games.googleapis.com,Google Play Game Services
gamesconfiguration.googleapis.com,Google Play Game Services Publishing API
gameservices.googleapis.com,Game Services API
gamesmanagement.googleapis.com,Google Play Game Management
gcp.redisenterprise.com,Redis Enterprise
gcpbilling.itopia.com,itopia Cloud Automation Stack Reporting Service
gcpmarketplace.cloudmanager.netapp.com,NetApp Cloud Volumes ONTAP through NetApp Cloud Manager
genomics.googleapis.com,Genomics API
geocoding-backend.googleapis.com,Geocoding API
geolocation.googleapis.com,Geolocation API
gitlab-for-gcp-gitlab-public.cloudpartnerservices.googleapis.com,GitLab Reporting Service
gkebackup.googleapis.com,Backup for GKE API
gkeconnect.googleapis.com,GKE Connect API
gkehub.googleapis.com,GKE Hub API
gkemulticloud.googleapis.com,Anthos Multi-Cloud API
gmail.googleapis.com,Gmail API
gmailpostmastertools.googleapis.com,Gmail Postmaster Tools API
googleads.googleapis.com,Google Ads API
googlecloudmessaging.googleapis.com,Cloud Messaging
grafana-cloud-commit.endpoints.grafana-public.cloud.googleapis.com,Grafana Cloud Commit
gridspace-sift-for-gcp.endpoints.gridspace-marketplace-public.cloud.googleapis.com,Gridspace Sift
groupby-product-discovery-suite.endpoints.groupbyinc-marketplace-public.cloud.googleapis.com,GroupBy Product Discovery Suite
groupsmigration.googleapis.com,Groups Migration API
groupssettings.googleapis.com,Groups Settings API
gsuiteaddons.googleapis.com,Google Workspace Add-ons API
happeo.endpoints.happeo-public.cloud.googleapis.com,Happeo
hashicorp-consul-gcp-hashicorp-marketplace-public.cloudpartnerservices.googleapis.com,HashiCorp Consul Reporting Service
hashicorp-for-gcp-hashicorp-marketplace-public.cloudpartnerservices.googleapis.com,HashiCorp Terraform Enterprise Reporting Service
hashicorp-vault-gcp-hashicorp-marketplace-public.cloudpartnerservices.googleapis.com,HashiCorp Vault Reporting Service
hcl-cotrust.endpoints.hcl-cotrust-public.cloud.googleapis.com,HCL CoTrust
healthcare.googleapis.com,Cloud Healthcare API
homegraph.googleapis.com,HomeGraph API
htcondor-on-gcp-kbatch-public.cloudpartnerservices.googleapis.com,Batch on GKE HTCondor on GCP
iam.googleapis.com,Identity and Access Management (IAM) API
iamcredentials.googleapis.com,IAM Service Account Credentials API
iap.googleapis.com,Cloud Identity-Aware Proxy API
ideahub.googleapis.com,Idea Hub API
identity-cloud-forgerock-public.cloudpartnerservices.googleapis.com,ForgeRock Identity Cloud Reporting Service
identitytoolkit.googleapis.com,Identity Toolkit API
ids.googleapis.com,Cloud IDS API
iics-prod.gcpmarketplace.informaticacloud.com,Informatica Intelligent Cloud Services Reporting Service
incorta-direct-data-platform.endpoints.incorta-id-public.cloud.googleapis.com,Incorta Direct Data Platform
indexing.googleapis.com,Indexing API
infection-monkey-guardicore-public-project.cloudpartnerservices.googleapis.com,Guardicore Infection Monkey
informatica-enterprise-data-catalog-license-subscription.endpoints.infamarketplace.cloud.googleapis.com,Informatica Enterprise Data Catalog License Subscription
insightfinder-unified-intelligence-engine-uie.endpoints.insightfinder-public.cloud.googleapis.com,InsightFinder Unified Intelligence Engine (UIE)
instana-saas-instana-public.cloudpartnerservices.googleapis.com,Instana - Container & Microservices Monitoring on GCP Reporting Service
integrations.googleapis.com,Cloud Integrations API
ionq.endpoints.ionq-public.cloud.googleapis.com,IonQ Quantum Cloud
ironmountain-for-gcp-ironmountain-public.cloudpartnerservices.googleapis.com,Iron Mountain InSight Enterprise Edition Reporting Service
itopia-spaces.endpoints.cielo-798b3393.cloud.googleapis.com,itopia Spaces
itsmine-dlp-itsmine-public.cloudpartnerservices.googleapis.com,ITsMine Beyond DLP
jfrog-ent-saas-jfrog-gc-mp.cloudpartnerservices.googleapis.com,"JFrog Enterprise: Artifacts, DevSecOps & CI/CD"
jobs.googleapis.com,Cloud Talent Solution API
kaspersky-hybrid-cloud-security-kasperskylab-public.cloudpartnerservices.googleapis.com,Kaspersky Hybrid Cloud Security (BYOL)
keep.googleapis.com,Google Keep API
keyfactor-command.endpoints.keyfactor-public.cloud.googleapis.com,Keyfactor Command
kgsearch.googleapis.com,Knowledge Graph Search API
kongenterprise21-konghq-public.cloudpartnerservices.googleapis.com,Kong Enterprise 2.1 (BYOL)
krmapihosting.googleapis.com,KRM API Hosting API
labelbox-product-gcp.endpoints.labelbox-tackle-public.cloud.googleapis.com,Labelbox
lacework-for-google-cloud.endpoints.lacework-public.cloud.googleapis.com,Lacework for Google Cloud
language.googleapis.com,Cloud Natural Language API
league-cx-platform.endpoints.league-public.cloud.googleapis.com,League CX Platform
libraryagent.googleapis.com,Library Agent API
licensing.googleapis.com,Enterprise License Manager API
lifesciences.googleapis.com,Cloud Life Sciences API
liquidware-stratusphere-ux-6151-collector-liquidware-public.cloudpartnerservices.googleapis.com,Liquidware Stratusphere UX Collector (6.1.5)
liquidware-stratusphere-ux-6151-database-liquidware-public.cloudpartnerservices.googleapis.com,Liquidware Stratusphere UX Database (6.1.5)
liquidware-stratusphere-ux-6151-hub-liquidware-public.cloudpartnerservices.googleapis.com,Liquidware Stratusphere UX (6.1.5)
liveramp.endpoints.mktplc-prod-liveramp-public.cloud.googleapis.com,LiveRamp
localservices.googleapis.com,Local Services API
logging.googleapis.com,Cloud Logging API
logrocket.endpoints.logrocket-public.cloud.googleapis.com,LogRocket
lookout-security-platform.endpoints.lookout-public.cloud.googleapis.com,Lookout Security Platform
lumapps-for-gcp-lumapps-public.cloudpartnerservices.googleapis.com,LumApps Reporting Service
lytics-lytics-marketplace-public.cloudpartnerservices.googleapis.com,Lytics Reporting Service
mailgun.endpoints.mailgun-public.cloud.googleapis.com,Mailgun by Pathwire
managedidentities.googleapis.com,Managed Service for Microsoft Active Directory API
mantl-gcp-marketplace.endpoints.mantl-sales-id-public.cloud.googleapis.com,MANTL
manufacturers.googleapis.com,Manufacturer Center API
manufacturers.googleapis.com,Manufacturer Center API
maps-android-backend.googleapis.com,Maps SDK for Android
maps-backend.googleapis.com,Maps JavaScript API
maps-embed-backend.googleapis.com,Maps Embed API
maps-ios-backend.googleapis.com,Maps SDK for iOS
material-security.endpoints.materialsecurity-public.cloud.googleapis.com,Material Security
matillion-etl-for-bigquery-ent-12-matillion-etl-for-bq-public.cloudpartnerservices.googleapis.com,Matillion ETL for BigQuery - Extra Large
matillion-etl-for-bigquery-ent-5-matillion-etl-for-bq-public.cloudpartnerservices.googleapis.com,Matillion ETL for BigQuery - Large
matillion-etl-for-bigquery-pro-2-matillion-etl-for-bq-public.cloudpartnerservices.googleapis.com,Matillion ETL for BigQuery - Medium
matillion-etl-for-snowflake-matillion-etl-for-bq-public.cloudpartnerservices.googleapis.com,Matillion ETL for Snowflake
matossphere.endpoints.cloudmatos-public.cloud.googleapis.com,MatosSphere
mediatranslation.googleapis.com,Media Translation API
memcache.googleapis.com,Cloud Memorystore for Memcached API
mesh.googleapis.com,Mesh API
meshca.googleapis.com,Anthos Service Mesh Certificate Authority API
meshconfig.googleapis.com,Mesh Configuration API
meshtelemetry.googleapis.com,Mesh Telemetry API
metastore.googleapis.com,Dataproc Metastore API
migrate.googleapis.com,Google Workspace Migrate API
ml.googleapis.com,AI Platform Training & Prediction API
mlkit.googleapis.com,ML Kit API
mobilecrashreporting.googleapis.com,Mobile Crash Reporting API
modpaas-modpaas.cloudpartnerservices.googleapis.com,Modern Systems Modernization Platform as a Service (ModPaaS)
mongodb-atlas-public-offer.endpoints.mdb-gcp-marketplace.cloud.googleapis.com,MongoDB Atlas - Public Offer
monitoring.googleapis.com,Cloud Monitoring API
moviesanywhere.googleapis.com,Play Movies Anywhere API
multiclusteringress.googleapis.com,Multi Cluster Ingress API
multiclustermetering.googleapis.com,Multi cluster metering API
multiclusterservicediscovery.googleapis.com,Multi-Cluster Service Discovery API
mux-video.endpoints.mux-public.cloud.googleapis.com,Mux Video
mw-cudinator-mavenwave-public.cloudpartnerservices.googleapis.com,Maven Wave Partners LLC Cudinator
mw-datasim-mavenwave-public.cloudpartnerservices.googleapis.com,Maven Wave Partners LLC Datasim
mybusinessaccountmanagement.googleapis.com,My Business Account Management API
mybusinessbusinessinformation.googleapis.com,My Business Business Information API
mybusinesslodging.googleapis.com,My Business Lodging API
mybusinessnotifications.googleapis.com,My Business Notifications API
mybusinessplaceactions.googleapis.com,My Business Place Actions API
mybusinessqanda.googleapis.com,My Business Q&A API
mybusinessverifications.googleapis.com,My Business Verifications API
nasuni-edge-appliance.endpoints.nasuni-public.cloud.googleapis.com,Nasuni Edge Appliance
nasuni-files-for-google-cloud-platform.endpoints.nasuni-public.cloud.googleapis.com,Nasuni Files for Google Cloud Platform
nasuni-for-gcp.endpoints.nasuni-public.cloud.googleapis.com,Nasuni Cloud File Services
nasuni-management-console.endpoints.nasuni-public.cloud.googleapis.com,Nasuni Management Console
neo4j-aura-gcp.endpoints.neo4j-aura-gcp.cloud.googleapis.com,Neo4j Aura Enterprise Database-as-a-Service
netscout-application-performance-management-for-gcp.endpoints.netscout-apm-public-228718.cloud.googleapis.com,NETSCOUT Application Performance Management for GCP
networkconnectivity.googleapis.com,Network Connectivity API
networkmanagement.googleapis.com,Network Management API
networksecurity.googleapis.com,Network Security API
networkservices.googleapis.com,Network Services API
networksubscriptions.googleapis.com,Network Subscriptions
networksubscriptions.googleapis.com,Network Subscriptions
networktopology.googleapis.com,Network Topology API
notebooks.googleapis.com,Notebooks API
novacoast-security-services.endpoints.novacoast-public.cloud.googleapis.com,Novacoast Security Services
nvidia-clara-aiaa-server-springml-public.cloudpartnerservices.googleapis.com,SPRINGML INC NVIDIA Clara Train SDK on Google Cloud
nylas-data-streams-gcp.endpoints.nylas-id-public.cloud.googleapis.com,Nylas Streams
